year,documentCount,averageFileSize,averageSideLength,jpgCount,pngCount
2007,1,337733.0,554.25625842204082007.0,1.0,0
2008,30,458998.4666666667,880.21169802118242008.0,30.0,0.0
2009,50,816535.96,1059.9920282719112009.0,49.0,1.0
2010,159,987318.7295597484,1170.98224908533782010.0,144.0,15.0
2011,501,946613.251497006,1097.63117194290662011.0,439.0,62.0
2012,823,750902.1603888214,1094.74426403850162012.0,632.0,191.0
2013,1630,678948.5852760737,1065.57220896349262013.0,1334.0,296.0
2014,2938,957864.7086453369,1221.01060152652372014.0,2031.0,905.0
2015,5382,878428.8810850985,1184.5480653399872015.0,3378.0,2004.0
2016,9488,990535.9998946037,1329.48018364537262016.0,5758.0,3730.0
2017,14363,1180635.1886792453,1486.36398074013572017.0,8883.0,5480.0
2018,20775,1487348.6407220217,1664.8535950636592018.0,13093.0,7680.0
2019,28706,1928447.6582595974,1884.05069545024322019.0,18082.0,10624.0
2020,43378,2444533.2746784086,2132.9329153285392020.0,28564.0,14813.0
2021,59473,2912529.6430312917,2299.83776388349222021.0,39459.0,20014.0
2022,86243,3176597.5868302356,2388.37588759078652022.0,56175.0,30065.0
2023,84574,3322114.5028732233,2482.3699066905732023.0,54645.0,29927.0
2024,54954,3703535.534810933,2604.20075778974022024.0,34691.0,20189.0